raterID;attractiveness;targetID;sex;ethnicity;zAge;zHeight;zBMI;sqzAge;sqzHeight;sqzBMI;zWCptsPB;zAttractiveness;zMouthCurv;zfWHR;meanAthlAttr
R123;4;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;0.5068;0.62;1.16;0.6495
R124;6;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;1.8767;0.62;1.16;0.6495
R125;5;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;1.1918;0.62;1.16;0.6495
R127;6;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;1.8767;0.62;1.16;0.6495
R130;3;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;-0.1781;0.62;1.16;0.6495
R131;4;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;0.5068;0.62;1.16;0.6495
R137;6;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;1.8767;0.62;1.16;0.6495
R138;4;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;0.5068;0.62;1.16;0.6495
R143;4;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;0.5068;0.62;1.16;0.6495
R146;3;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;-0.1781;0.62;1.16;0.6495
R149;3;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;-0.1781;0.62;1.16;0.6495
R150;3;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;-0.1781;0.62;1.16;0.6495
R152;5;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;1.1918;0.62;1.16;0.6495
R153;4;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;0.5068;0.62;1.16;0.6495
R155;5;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;1.1918;0.62;1.16;0.6495
R156;3;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;-0.1781;0.62;1.16;0.6495
R158;5;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;1.1918;0.62;1.16;0.6495
R159;3;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;-0.1781;0.62;1.16;0.6495
R165;4;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;0.5068;0.62;1.16;0.6495
R169;3;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;-0.1781;0.62;1.16;0.6495
R170;6;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;1.8767;0.62;1.16;0.6495
R171;5;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;1.1918;0.62;1.16;0.6495
R172;4;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;0.5068;0.62;1.16;0.6495
R173;3;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;-0.1781;0.62;1.16;0.6495
R123;3;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;-0.1781;-0.48;0.6;-0.121
R124;3;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;-0.1781;-0.48;0.6;-0.121
R125;5;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;1.1918;-0.48;0.6;-0.121
R127;4;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;0.5068;-0.48;0.6;-0.121
R130;3;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;-0.1781;-0.48;0.6;-0.121
R131;4;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;0.5068;-0.48;0.6;-0.121
R137;3;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;-0.1781;-0.48;0.6;-0.121
R138;4;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;0.5068;-0.48;0.6;-0.121
R143;3;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;-0.1781;-0.48;0.6;-0.121
R146;3;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;-0.1781;-0.48;0.6;-0.121
R149;1;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;-1.5479;-0.48;0.6;-0.121
R150;5;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;1.1918;-0.48;0.6;-0.121
R152;4;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;0.5068;-0.48;0.6;-0.121
R153;4;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;0.5068;-0.48;0.6;-0.121
R155;3;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;-0.1781;-0.48;0.6;-0.121
R156;4;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;0.5068;-0.48;0.6;-0.121
R158;2;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;-0.863;-0.48;0.6;-0.121
R159;2;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;-0.863;-0.48;0.6;-0.121
R165;2;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;-0.863;-0.48;0.6;-0.121
R169;1;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;-1.5479;-0.48;0.6;-0.121
R170;3;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;-0.1781;-0.48;0.6;-0.121
