no,noNo,orgCommit,turnoverInt,orgValues,t.quit,t.looking,t.possibility,o.emotional,o.contnuous,o.specification
220,220,63,17,19,6,6,5,22,20,21
221,221,41,22,15,8,8,6,14,13,14
222,222,41,22,15,8,7,7,15,12,14
223,223,59,19,17,7,5,7,23,16,20
224,224,59,17,17,5,5,7,22,18,19
225,225,67,16,19,6,4,6,24,20,23
226,226,61,19,17,8,5,6,20,21,20
227,227,71,22,14,8,7,7,29,20,22
228,228,62,21,14,7,7,7,22,18,22
229,229,83,9,25,3,4,2,30,28,25
230,230,50,19,16,6,6,7,16,18,16
231,231,36,21,11,8,6,7,12,14,10
232,232,54,18,20,6,6,6,18,19,17
233,233,56,16,17,5,5,6,20,16,20
234,234,58,18,17,6,4,8,21,19,18
235,235,63,14,19,5,3,6,18,23,22
236,236,63,17,18,5,5,7,22,19,22
237,237,62,15,19,5,5,5,22,18,22
238,238,55,17,14,7,5,5,20,17,18
239,239,83,8,25,3,2,3,30,24,29
240,240,66,20,17,7,7,6,22,20,24
241,241,83,8,22,2,2,4,30,28,25
242,242,83,10,22,2,5,3,28,29,26
243,243,82,9,23,1,2,6,25,27,30
244,244,83,8,23,2,2,4,28,28,27
245,245,50,20,13,7,8,5,18,15,17
246,246,86,7,23,1,1,5,28,28,30
247,247,60,16,16,6,6,4,22,18,20
248,248,61,18,15,7,5,6,22,22,17
249,249,80,11,21,3,2,6,27,26,27
250,250,79,12,20,3,3,6,25,27,27
251,251,68,19,16,6,7,6,25,24,19
252,252,84,10,24,2,2,6,28,28,28
253,253,66,19,17,7,6,6,22,22,22
254,254,65,20,18,8,6,6,23,21,21
255,255,86,8,23,2,1,5,27,29,30
256,256,81,10,22,2,2,6,25,28,28
257,257,82,10,22,2,2,6,29,23,30
258,258,68,17,20,6,4,7,26,20,22
259,259,49,22,14,8,8,6,15,14,20
260,260,50,23,15,7,8,8,18,16,16
261,261,42,21,14,7,6,8,15,14,13
262,262,36,20,16,7,5,8,12,11,13
263,263,55,22,11,8,6,8,22,14,19
264,264,63,18,16,5,6,7,22,18,23
265,1,69,17,18,6,5,6,23,24,22
266,2,68,17,18,5,7,5,21,22,25
267,3,74,14,20,7,3,4,27,25,22
268,4,61,21,15,8,5,8,22,19,20
269,5,56,19,16,5,7,7,20,18,18
270,6,54,18,18,6,7,5,19,18,17
271,7,54,20,17,8,8,4,17,18,19
272,8,62,19,16,6,8,5,22,18,22
273,9,62,14,17,4,4,6,26,18,18
274,10,54,20,15,6,8,6,17,17,20
275,11,84,9,23,2,2,5,28,28,28
276,12,75,13,21,5,3,5,27,25,23
277,13,58,21,16,8,6,7,18,20,20
278,14,58,17,19,7,5,5,19,20,19
279,15,54,18,15,5,8,5,18,18,18
280,16,67,19,17,8,5,6,22,21,24
281,17,73,14,25,4,4,6,24,25,24
282,18,64,18,15,7,4,7,24,18,22
283,19,69,16,19,5,7,4,23,23,23
284,20,53,19,18,7,6,6,17,18,18
285,21,66,18,17,7,5,6,23,22,21
286,22,83,8,25,2,2,4,28,27,28
287,23,79,24,20,8,8,8,28,24,27
288,24,83,8,24,2,1,5,28,26,29
289,25,66,16,18,5,5,6,22,19,25
290,26,42,21,12,7,6,8,14,14,14
291,27,53,16,15,5,6,5,18,17,18
292,28,57,21,17,7,7,7,20,18,19
293,29,87,7,25,2,1,4,29,29,29
294,30,66,15,20,5,5,5,24,17,25
295,31,67,17,18,7,4,6,24,21,22
296,32,73,14,24,5,3,6,26,25,22
297,33,63,19,15,7,6,6,23,22,18
298,34,87,10,25,2,2,6,27,30,30
299,35,73,15,19,6,3,6,24,23,26
300,36,86,7,22,2,2,3,29,27,30
301,37,87,8,25,2,2,4,29,28,30
302,38,72,15,19,4,5,6,24,24,24
303,39,68,17,18,7,4,6,23,25,20
304,40,62,14,20,4,6,4,21,20,21
305,41,64,17,18,5,6,6,20,20,24
306,42,66,15,16,5,5,5,24,22,20
307,43,51,20,16,7,6,7,15,18,18
308,44,63,12,13,3,5,4,21,22,20
309,45,63,12,18,3,3,6,21,21,21
310,46,65,9,18,3,4,2,23,20,22
311,47,65,14,20,5,4,5,22,22,21
312,48,68,15,19,5,5,5,23,22,23
313,49,67,16,20,6,5,5,24,21,22
314,50,72,11,17,3,3,5,24,24,24
315,51,56,19,15,7,7,5,18,21,17
316,52,60,19,20,7,6,6,21,20,19
317,53,72,13,20,4,4,5,24,25,23
318,54,74,13,21,5,2,6,26,23,25
319,55,72,15,20,4,6,5,24,22,26
320,56,72,17,20,6,7,4,26,24,22
321,57,54,17,16,6,6,5,20,17,17
322,58,83,10,22,3,2,5,28,27,28
323,59,69,12,19,3,3,6,23,24,22
324,60,82,10,23,2,2,6,27,27,28
325,61,74,15,21,5,4,6,24,25,25
326,62,69,8,20,2,2,4,22,22,25
327,63,74,14,18,5,5,4,25,23,26
328,64,52,20,16,7,7,6,19,16,17
329,65,86,8,25,2,2,4,29,28,29
330,66,41,15,14,5,4,6,14,13,14
