year;pack;name;age;height;weight;caps;position;poscode
2015;CAN;Phil Mackenzie;28;185;96;28;Wing;WI
2015;CAN;John Moonlight;28;187;103;22;BackRow;SR
2015;CAN;Ciaran Hearn;29;190;100;47;Centre;CE
2015;CAN;Richard Thorpe;30;187;105;7;BackRow;SR
2015;CAN;Hubert Buydens;33;191;120;37;Prop;PR
2015;CAN;DTH Van Der Merwe;29;185;101;37;Wing;WI
2015;CAN;Nathan Hirayama;27;183;88;21;FlyHalf;FH
2015;CAN;Harry Jones;26;185;90;18;FlyHalf;FH
2015;CAN;Jamie Mackenzie;26;175;89;8;ScrumHalf;SH
2015;CAN;Andrew Tiedemann;27;183;115;37;Prop;PR
2015;CAN;Nanyak Dala;31;178;100;35;BackRow;SR
2015;CAN;Conor Trainor;25;188;95;20;Centre;CE
2015;CAN;Jebb Sinclair;29;193;111;41;BackRow;SR
2015;CAN;Brett Beukeboom;25;196;113;16;Lock;SR
2015;CAN;Connor Braid;25;185;82;19;FlyHalf;FH
2015;CAN;Doug Wooldridge;29;180;106;21;Prop;PR
2015;CAN;Nick Blevins;26;187;98;26;Centre;CE
2015;CAN;Tyler Ardron;24;194;110;21;BackRow;SR
2015;CAN;Jeff Hassler;24;178;96;16;Wing;WI
2015;CAN;Liam Underwood;24;189;91;11;FlyHalf;FH
2015;CAN;Evan Olmstead;24;197;115;6;Lock;SR
2015;CAN;Jake Ilnicki;23;180;125;8;Prop;PR
2015;CAN;Ray Barkwill;35;180;103;24;Hooker;HK
2015;CAN;Djustice Sears-Duru;21;185;118;10;Prop;PR
2015;CAN;Benoit Piffero;28;183;102;10;Hooker;HK
2015;CAN;Kyle Gilmour;27;185;85;13;BackRow;SR
2015;CAN;Gordon McRorie;27;178;80;13;ScrumHalf;SH
2015;ENG;James Haskell;30;193;114;61;BackRow;SR
2015;ENG;David Wilson;30;188;122;43;Prop;PR
2015;ENG;Danny Care;28;175;85;52;ScrumHalf;SH
2015;ENG;Dan Cole;28;189;118;57;Prop;PR
2015;ENG;Tom Youngs;28;175;102;29;Hooker;HK
2015;ENG;Rob Webber;29;183;110;15;Hooker;HK
2015;ENG;Brad Barritt;29;185;95;25;Centre;CE
2015;ENG;Geoff Parling;31;198;114;30;Lock;SR
2015;ENG;Chris Robshaw;29;188;110;41;BackRow;SR
2015;ENG;Mike Brown;30;183;92;41;FullBack;FB
2015;ENG;Richard Wigglesworth;32;176;86;25;ScrumHalf;SH
2015;ENG;Alex Goode;27;180;91;18;FullBack;FB
2015;ENG;Courtney Lawes;26;201;115;42;Lock;SR
2015;ENG;Ben Youngs;26;178;87;53;ScrumHalf;SH
2015;ENG;Jamie George;24;183;109;2;Hooker;HK
2015;ENG;Joe Marler;25;183;113;35;Prop;PR
2015;ENG;Mako Vunipola;24;182;118;28;Prop;PR
2015;ENG;Kieran Brookes;25;186;122;14;Prop;PR
2015;ENG;Jonny May;25;189;90;18;Wing;WI
2015;ENG;Jonathan Joseph;24;183;93;14;Centre;CE
2015;ENG;George Kruis;25;198;112;8;Lock;SR
2015;ENG;Tom Wood;28;193;108;40;BackRow;SR
2015;ENG;Owen Farrell;24;188;90;34;FlyHalf;FH
2015;ENG;George Ford;22;175;80;15;FlyHalf;FH
2015;ENG;Joe Launchbury;24;198;115;26;Lock;SR
2015;ENG;Ben Morgan;26;190;116;30;BackRow;SR
2015;ENG;Henry Slade;22;190;90;1;Centre;CE
2015;ENG;Billy Vunipola;22;188;126;21;BackRow;SR
2015;ENG;Jack Nowell;22;180;89;9;Wing;WI
2015;ENG;Anthony Watson;21;188;90;13;Wing;WI
2015;ENG;Sam Burgess;26;193;116;4;Centre;CE
2015;FIJ;Sunia Koto;35;178;110;46;Hooker;HK
2015;FIJ;Akapusi Qera;31;193;102;49;BackRow;SR
2015;FIJ;Gabiriele Lovobalavu;30;176;97;22;Centre;CE
2015;FIJ;Asaeli Tikoirotuma;29;186;93;14;Wing;WI
2015;FIJ;Netani Talei;32;190;110;31;BackRow;SR
2015;FIJ;Sakiusa Matadigo;33;188;106;21;BackRow;SR
2015;FIJ;Kini Murimurivalu;26;184;94;11;FullBack;FB
2015;FIJ;Isei Colati;31;175;115;9;Prop;PR
2015;FIJ;Vereniki Goneva;31;189;99;37;Centre;CE
2015;FIJ;Manasa Saulo;26;189;111;26;Prop;PR
2015;FIJ;Nemia Kenatale;29;179;85;35;ScrumHalf;SH
2015;FIJ;Apisalome Ratuniyarawa;29;198;114;17;Lock;SR
2015;FIJ;Viliame Veikoso;33;178;102;30;Hooker;HK
2015;FIJ;Henry Seniloli;26;174;70;8;ScrumHalf;SH
2015;FIJ;Nikola Matawalu;26;179;85;28;ScrumHalf;SH
2015;FIJ;Leone Nakarawa;27;198;117;33;Lock;SR
2015;FIJ;Josh Matavesi;24;184;93;14;FlyHalf;FH
2015;FIJ;Campese Ma'afu;30;182;114;37;Prop;PR
2015;FIJ;Talemaitoga Tuapati;31;180;107;31;Hooker;HK
2015;FIJ;Dominiko Waqaniburotu;29;189;111;25;BackRow;SR
2015;FIJ;Nemani Nadolo;27;194;125;22;Centre;CE
2015;FIJ;Malakai Ravulo;32;190;107;35;BackRow;SR
2015;FIJ;Tevita Cavubati;28;200;120;10;Lock;SR
2015;FIJ;Ben Volavola;24;191;89;8;FlyHalf;FH
2015;FIJ;Metuisela Talebula;24;186;88;18;FullBack;FB
2015;FIJ;Waisea Nayacalevu;25;195;97;13;Wing;WI
2015;FIJ;Leroy Atalifo;27;180;130;2;Prop;PR
2015;FIJ;Peceli Yato;22;183;104;6;BackRow;SR
2015;FIJ;Lepani Botia;26;178;98;5;Centre;CE
2015;FIJ;Peni Ravai;25;185;105;11;Prop;PR
2015;FIJ;Nemia Soqeta;30;196;117;8;Lock;SR
2015;FRA;Frederic Michalak;32;180;87;74;FlyHalf;FH
2015;FRA;Nicolas Mas;35;180;108;82;Prop;PR
2015;FRA;Pascal Pape;34;195;118;62;Lock;SR
2015;FRA;Yannick Nyanga;31;188;103;44;BackRow;SR
2015;FRA;Dimitri Szarzewski;32;181;101;82;Hooker;HK
2015;FRA;Damien Chouly;29;192;109;33;BackRow;SR
2015;FRA;Sebastien Tillous-Borde;30;176;87;17;ScrumHalf;SH
2015;FRA;Mathieu Bastareaud;27;183;125;36;Centre;CE
2015;FRA;Yoann Huget;28;187;96;41;Wing;WI
2015;FRA;Yoann Maestri;27;201;119;39;Lock;SR
2015;FRA;Morgan Parra;26;180;83;63;ScrumHalf;SH
2015;FRA;Guilhem Guirado;29;180;109;35;Hooker;HK
2015;FRA;Louis Picamoles;29;192;118;49;BackRow;SR
2015;FRA;Fulgence Ouedraogo;29;191;100;38;BackRow;SR
2015;FRA;Scott Spedding;29;186;100;11;FullBack;FB
2015;FRA;Thierry Dusautoir;33;188;103;77;BackRow;SR
2015;FRA;Vincent Debaty;33;190;125;34;Prop;PR
2015;FRA;Wesley Fofana;27;182;93;36;Centre;CE
2015;FRA;Rabah Slimani;25;178;112;18;Prop;PR
2015;FRA;Alexandre Dumoulin;26;189;98;5;Centre;CE
2015;FRA;Benjamin Kayser;31;183;108;35;Hooker;HK
2015;FRA;Noa Nakaitaci;25;190;97;6;Wing;WI
2015;FRA;Remy Grosso;27;189;103;12;Wing;WI
2015;FRA;Uini Atonio;25;197;145;10;Prop;PR
2015;FRA;Rory Kockott;29;180;89;10;ScrumHalf;SH
2015;FRA;Eddy Ben Arous;25;184;109;9;Prop;PR
2015;FRA;Brice Dulin;25;176;82;21;FullBack;FB
2015;FRA;Remi Tales;31;186;93;21;FlyHalf;FH
2015;FRA;Gael Fickou;21;190;99;15;Centre;CE
2015;FRA;Alexandre Flanquart;25;204;120;17;Lock;SR
2015;FRA;Bernard Le Roux;26;196;113;20;BackRow;SR
2015;FRA;Sofiane Guitoune;26;184;94;5;Wing;WI
2015;GEO;Giorgi Chkhaidze;34;195;112;85;Lock;SR
2015;GEO;Mamuka Gorgodze;31;196;118;63;BackRow;SR
2015;GEO;Merab Kvirikashvili;31;177;80;87;FullBack;FB
2015;GEO;Davit Zirakashvili;31;179;117;52;Prop;PR
2015;GEO;Levan Datunashvili;32;196;114;73;Lock;SR
2015;GEO;Giorgi Begadze;29;178;81;38;ScrumHalf;SH
2015;GEO;Davit Kubriashvili;28;183;122;40;Prop;PR
2015;GEO;Simon Maisuradze;29;180;108;32;Hooker;HK
2015;GEO;Alexander Todua;27;183;92;48;Wing;WI
2015;GEO;Lasha Khmaladze;27;180;82;39;FlyHalf;FH
2015;GEO;Jaba Bregvadze;28;180;102;31;Hooker;HK
2015;GEO;Karlen Asieshvili;28;184;112;14;Prop;PR
2015;GEO;Davit Kacharava;30;184;96;85;Centre;CE
2015;GEO;Lasha Malaguradze;29;185;92;60;FlyHalf;FH
2015;GEO;Giorgi Nemsadze;31;194;111;53;Lock;SR
2015;GEO;Shalva Sutiashvili;31;193;102;51;BackRow;SR
2015;GEO;Beka Tsiklauri;26;180;87;21;FullBack;FB
2015;GEO;Viktor Kolelishvili;25;192;104;34;BackRow;SR
2015;GEO;Konstantine Mikautadze;24;200;125;38;Lock;SR
2015;GEO;Levan Chilachava;24;188;125;26;Prop;PR
2015;GEO;Giorgi Tkhilaishvili;24;180;103;23;BackRow;SR
2015;GEO;Shalva Mamukashvili;24;180;106;33;Hooker;HK
2015;GEO;Mikheil Nariashvili;25;186;118;30;Prop;PR
2015;GEO;Merab Sharikadze;22;185;96;38;Centre;CE
2015;GEO;Vazha Khutsishvili;22;165;73;20;ScrumHalf;SH
2015;GEO;Lasha Lomidze;23;195;108;13;BackRow;SR
2015;GEO;Tamaz Mchedlidze;22;194;108;33;Wing;WI
2015;GEO;Giorgi Pruidze;21;192;95;5;Wing;WI
2015;GEO;Giorgi Aptsiauri;21;178;89;12;FullBack;FB
2015;GEO;Murazi Giorgadze;21;182;85;8;Wing;WI
2015;GEO;Vasil Lobzhanidze;18;175;75;8;ScrumHalf;SH
2015;IRE;Paul O'Connell;35;198;112;112;Lock;SR
2015;IRE;Tommy Bowe;31;190;96;68;Wing;WI
2015;IRE;Jonathan Sexton;30;188;92;57;FlyHalf;FH
2015;IRE;Chris Henry;30;191;107;20;BackRow;SR
2015;IRE;Jared Payne;29;188;95;9;Centre;CE
2015;IRE;Rory Best;33;180;110;86;Hooker;HK
2015;IRE;Eoin Reddan;34;178;83;65;ScrumHalf;SH
2015;IRE;Cian Healy;27;185;112;52;Prop;PR
2015;IRE;Keith Earls;27;178;92;42;Wing;WI
2015;IRE;Darren Cave;28;183;93;10;Centre;CE
2015;IRE;Rob Kearney;29;185;95;67;FullBack;FB
2015;IRE;Devin Toner;29;208;124;27;Lock;SR
2015;IRE;Richardt Strauss;29;175;101;10;Hooker;HK
2015;IRE;Jamie Heaslip;31;193;110;81;BackRow;SR
2015;IRE;Sean Cronin;29;180;101;46;Hooker;HK
2015;IRE;Sean O'Brien;28;188;108;40;BackRow;SR
2015;IRE;Luke Fitzgerald;28;185;91;32;Wing;WI
2015;IRE;Mike Ross;35;188;127;53;Prop;PR
2015;IRE;Dave Kearney;26;180;91;11;Wing;WI
2015;IRE;Ian Madigan;26;180;90;22;FlyHalf;FH
2015;IRE;Donnacha Ryan;31;201;116;32;Lock;SR
2015;IRE;Jack McGrath;25;185;118;21;Prop;PR
2015;IRE;Conor Murray;26;188;94;40;ScrumHalf;SH
2015;IRE;Peter O'Mahony;26;191;107;33;BackRow;SR
2015;IRE;Jordi Murphy;24;188;108;12;BackRow;SR
2015;IRE;Simon Zebo;25;188;94;19;Wing;WI
2015;IRE;Tadhg Furlong;22;185;119;2;Prop;PR
2015;IRE;Iain Henderson;23;198;114;20;Lock;SR
2015;IRE;Paddy Jackson;23;180;80;12;FlyHalf;FH
2015;IRE;Robbie Henshaw;22;191;100;12;Centre;CE
2015;IRE;Nathan White;34;188;122;4;Prop;PR
2015;ITA;Sergio Parisse;32;196;112;113;BackRow;SR
2015;ITA;Martin Castrogiovanni;33;188;117;115;Prop;PR
2015;ITA;Andrea Masi;34;183;99;95;FullBack;FB
2015;ITA;Mauro Bergamasco;36;185;104;105;BackRow;SR
2015;ITA;Valerio Bernab�;31;198;110;26;Lock;SR
2015;ITA;Leonardo Ghiraldini;30;184;103;80;Hooker;HK
2015;ITA;Alessandro Zanni;31;188;107;92;BackRow;SR
2015;ITA;Michele Rizzo;33;188;110;21;Prop;PR
2015;ITA;Matias Aguero;34;184;106;38;Prop;PR
2015;ITA;Luke McLean;28;190;98;73;FullBack;FB
2015;ITA;Davide Giazzon;29;180;106;22;Hooker;HK
2015;ITA;Simone Favaro;26;183;100;25;BackRow;SR
2015;ITA;Lorenzo Cittadini;32;190;120;42;Prop;PR
2015;ITA;Samuela Vunisa;27;189;117;10;BackRow;SR
2015;ITA;Josh Furno;25;200;108;33;Lock;SR
2015;ITA;Gonzalo Garcia;31;185;96;38;Centre;CE
2015;ITA;Francesco Minto;28;193;107;21;BackRow;SR
2015;ITA;Tommaso Benvenuti;24;187;100;32;Centre;CE
2015;ITA;Edoardo Gori;25;180;86;45;ScrumHalf;SH
2015;ITA;Andrea Manici;25;183;103;14;Hooker;HK
2015;ITA;Giovanbattista Venditti;25;187;110;31;Wing;WI
2015;ITA;Quintin Geldenhuys;34;203;118;59;Lock;SR
2015;ITA;Guglielmo Palazzani;24;173;83;13;ScrumHalf;SH
2015;ITA;Marco Fuser;24;198;124;6;Lock;SR
2015;ITA;Dario Chistolini;27;180;109;11;Prop;PR
2015;ITA;Michele Visentin;23;184;92;1;Wing;WI
2015;ITA;Michele Campagnaro;22;184;91;16;Centre;CE
2015;ITA;Leonardo Sarto;23;192;93;21;Wing;WI
2015;ITA;Marcello Violi;21;176;83;2;ScrumHalf;SH
2015;ITA;Tommaso Allan;22;184;87;19;FlyHalf;FH
2015;ITA;Enrico Bacchin;22;182;97;4;Centre;CE
2015;ITA;Carlo Canna;23;185;90;5;FlyHalf;FH
2015;JPN;Hitoshi Ono;37;192;106;95;Lock;SR
2015;JPN;Toshiaki Hirose;33;173;82;28;Wing;WI
2015;JPN;Akihito Yamada;30;181;90;14;Wing;WI
2015;JPN;Ayumu Goromaru;29;185;99;55;FullBack;FB
2015;JPN;Shota Horie;29;180;105;40;Hooker;HK
2015;JPN;Shinya Makabe;28;192;118;33;Lock;SR
2015;JPN;Kensuke Hatakeyama;30;178;115;70;Prop;PR
2015;JPN;Fumiaki Tanaka;30;166;71;51;ScrumHalf;SH
2015;JPN;Masataka Mikami;27;178;115;31;Prop;PR
2015;JPN;Luke Thompson;34;196;108;61;Lock;SR
2015;JPN;Kosei Ono;28;171;83;30;FlyHalf;FH
2015;JPN;Michael Leitch;26;190;105;45;BackRow;SR
2015;JPN;Ryu Koliniasi Holani;33;188;112;42;BackRow;SR
2015;JPN;Hiroshi Yamashita;29;183;122;47;Prop;PR
2015;JPN;Keita Inagaki;25;183;115;8;Prop;PR
2015;JPN;Harumichi Tatekawa;25;181;94;41;Centre;CE
2015;JPN;Amanaki Mafi;25;189;112;5;BackRow;SR
2015;JPN;Takeshi Kizu;27;183;114;39;Hooker;HK
2015;JPN;Hiroki Yuhara;31;173;102;22;Hooker;HK
2015;JPN;Justin Ives;31;196;105;31;BackRow;SR
2015;JPN;Atsushi Hiwasa;28;166;72;49;ScrumHalf;SH
2015;JPN;Shoji Ito;34;191;100;36;Lock;SR
2015;JPN;Yu Tamura;26;181;92;35;FlyHalf;FH
2015;JPN;Yoshikazu Fujita;22;184;90;28;Wing;WI
2015;JPN;Hendrik Tui;27;189;107;34;BackRow;SR
2015;JPN;Michael Broadhurst;28;196;111;24;BackRow;SR
2015;JPN;Kenki Fukuoka;23;175;83;17;Wing;WI
2015;JPN;Male Sau;27;183;97;25;Centre;CE
2015;JPN;Craig Wing;35;180;90;10;Centre;CE
2015;JPN;Kotaro Matsushima;22;175;88;14;Wing;WI
2015;JPN;Karne Hesketh;30;178;98;12;Wing;WI
2015;NAM;Jacques Burger;32;188;102;36;BackRow;SR
2015;NAM;Darryl De La Harpe;26;183;97;27;Centre;CE
2015;NAM;Eugene Jantjies;29;177;87;47;ScrumHalf;SH
2015;NAM;Casper Viviers;27;185;112;15;Prop;PR
2015;NAM;Chrysander Botha;27;185;91;35;FullBack;FB
2015;NAM;Johnny Redelinghuys;31;184;127;48;Prop;PR
2015;NAM;PJ Van Lill;31;192;113;39;BackRow;SR
2015;NAM;Tinus Du Plessis;31;195;104;46;BackRow;SR
2015;NAM;Johan Coetzee;27;186;120;6;Prop;PR
2015;NAM;Johan Tromp;24;183;91;20;FullBack;FB
2015;NAM;Russel Van Wyk;25;180;88;5;Wing;WI
2015;NAM;Jaco Engels;34;185;122;13;Prop;PR
2015;NAM;David Philander;28;175;93;24;Wing;WI
2015;NAM;Eneill Buitendag;26;187;97;15;ScrumHalf;SH
2015;NAM;Conrad Marais;26;193;103;9;Wing;WI
2015;NAM;Rohan Kitshoff;30;182;98;23;BackRow;SR
2015;NAM;Theuns Kotze;29;175;86;27;FlyHalf;FH
2015;NAM;Danie Van Wyk;29;188;91;14;Centre;CE
2015;NAM;Raoul Larson;31;185;125;7;Prop;PR
2015;NAM;Torsten Van Jaarsveld;28;173;100;8;Hooker;HK
2015;NAM;Wian Conradie;20;185;105;1;BackRow;SR
2015;NAM;Janco Venter;21;193;100;10;Lock;SR
2015;NAM;Renaldo Bothma;26;190;113;8;BackRow;SR
2015;NAM;Heinrich Smit;24;175;88;12;Wing;WI
2015;NAM;Johan Deysel;24;184;94;10;Centre;CE
2015;NAM;Louis van der Westhuizen;20;178;93;3;Hooker;HK
2015;NAM;Tjiuee Uanivi;24;200;108;12;Lock;SR
2015;NAM;JC Greyling;24;187;92;10;Centre;CE
2015;NAM;Damian Stevens;20;175;82;1;ScrumHalf;SH
2015;NAM;AJ De Klerk;23;178;128;6;Prop;PR
2015;NAM;Leneve Damens;22;186;100;5;BackRow;SR
2015;NZL;Richie McCaw;34;187;105;144;BackRow;SR
2015;NZL;Keven Mealamu;36;181;109;127;Hooker;HK
2015;NZL;Tony Woodcock;34;184;120;116;Prop;PR
2015;NZL;Ma'a Nonu;33;182;108;99;Centre;CE
2015;NZL;Daniel Carter;33;178;96;107;FlyHalf;FH
2015;NZL;Jerome Kaino;32;196;110;62;BackRow;SR
2015;NZL;Conrad Smith;33;186;95;89;Centre;CE
2015;NZL;Liam Messam;31;190;109;42;BackRow;SR
2015;NZL;Ben Franks;31;183;117;44;Prop;PR
2015;NZL;Kieran Read;29;193;110;79;BackRow;SR
2015;NZL;Colin Slade;27;183;90;21;FlyHalf;FH
2015;NZL;Victor Vito;28;192;109;30;BackRow;SR
2015;NZL;Dane Coles;28;184;110;31;Hooker;HK
2015;NZL;Ben Smith;29;186;94;43;Wing;WI
2015;NZL;Wyatt Crockett;32;193;116;42;Prop;PR
2015;NZL;Samuel Whitelock;26;202;116;68;Lock;SR
2015;NZL;Aaron Smith;26;171;82;42;ScrumHalf;SH
2015;NZL;Owen Franks;27;185;118;73;Prop;PR
2015;NZL;Tawera Kerr-Barlow;25;187;89;16;ScrumHalf;SH
2015;NZL;Julian Savea;25;192;106;37;Wing;WI
2015;NZL;Sonny Bill Williams;30;191;108;28;Centre;CE
2015;NZL;Codie Taylor;24;183;106;4;Hooker;HK
2015;NZL;Luke Romano;29;199;113;21;Lock;SR
2015;NZL;Sam Cane;23;189;105;26;BackRow;SR
2015;NZL;TJ Perenara;23;183;94;17;ScrumHalf;SH
2015;NZL;Beauden Barrett;24;187;91;32;FlyHalf;FH
2015;NZL;Waisake Naholo;24;186;102;1;Wing;WI
2015;NZL;Brodie Retallick;24;204;120;42;Lock;SR
2015;NZL;Malakai Fekitoa;23;187;99;12;Centre;CE
2015;NZL;Charlie Faumuina;28;184;128;29;Prop;PR
2015;NZL;Nehe Milner-Skudder;24;182;90;4;Wing;WI
2015;ROU;Danut Dumbrava;34;187;95;74;FlyHalf;FH
2015;ROU;Paulica Ion;32;183;118;71;Prop;PR
2015;ROU;Valentin Calafeteanu;30;182;82;74;ScrumHalf;SH
2015;ROU;Valentin Ursache;29;194;112;61;BackRow;SR
2015;ROU;Catalin Fercu;29;184;87;81;FullBack;FB
2015;ROU;Csaba Gal;30;184;97;85;Centre;CE
2015;ROU;Otar Turashvili;29;184;118;22;Hooker;HK
2015;ROU;Mihaita Lazar;28;186;118;48;Prop;PR
2015;ROU;Viorel Lucaci;29;190;103;43;BackRow;SR
2015;ROU;Mihai Macovei;28;194;108;65;BackRow;SR
2015;ROU;Florin Vlaicu;29;186;98;82;Centre;CE
2015;ROU;Ionut Botezatu;27;180;80;28;Wing;WI
2015;ROU;Andrei Radoi;28;181;103;47;Hooker;HK
2015;ROU;Stelian Burcea;31;189;107;51;BackRow;SR
2015;ROU;Madalin Lemnaru;26;188;95;28;Wing;WI
2015;ROU;Valentin Poparlan;28;196;117;48;Lock;SR
2015;ROU;Daniel Carpo;30;191;106;51;BackRow;SR
2015;ROU;Florin Surugiu;30;170;81;52;ScrumHalf;SH
2015;ROU;Alexandru Tarus;26;184;111;7;Prop;PR
2015;ROU;Adrian Apostol;25;187;93;20;Wing;WI
2015;ROU;Tudorel Bratu;24;172;71;NA;ScrumHalf;SH
2015;ROU;Florin Ionita;25;195;96;17;Wing;WI
2015;ROU;Andrei Ursache;31;180;117;23;Prop;PR
2015;ROU;Eugen Capatana;29;180;105;18;Hooker;HK
2015;ROU;Horatiu Pungea;29;188;130;27;Prop;PR
2015;ROU;Marius Antonescu;23;198;112;9;Lock;SR
2015;ROU;Sabin Stratila;20;187;80;1;FullBack;FB
2015;ROU;Michael Wiringi;30;173;87;1;FlyHalf;FH
2015;ROU;Paula Kinikinilau;29;185;105;2;Centre;CE
2015;ROU;Johannes van Heerden;28;196;118;2;Lock;SR
2015;ROU;Ovidiu Tonita;35;195;109;71;BackRow;SR
2015;WSM;Alesana Tuilagi;34;194;111;37;Wing;WI
2015;WSM;Maurie Faasavalu;35;191;112;26;BackRow;SR
2015;WSM;Ofisa Treviranus;31;185;108;34;BackRow;SR
2015;WSM;Paul Perez;29;189;101;13;Centre;CE
2015;WSM;Jake Grey;31;170;110;4;Prop;PR
2015;WSM;Census Johnston;34;190;135;53;Prop;PR
2015;WSM;Jack Lam;27;183;101;17;BackRow;SR
2015;WSM;Faifili Levave;29;194;100;8;BackRow;SR
2015;WSM;George Pisi;29;188;103;18;Centre;CE
2015;WSM;Wayne Ole Avei;32;178;114;23;Hooker;HK
2015;WSM;Alafoti Faosiliva;29;185;112;14;BackRow;SR
2015;WSM;Tusi Pisi;33;183;93;26;FlyHalf;FH
2015;WSM;Ken Pisi;26;180;89;8;Wing;WI
2015;WSM;Kane Thompson;33;198;113;31;Lock;SR
2015;WSM;Iosefa Tekori;31;198;119;34;Lock;SR
2015;WSM;Fa'atoina Autagavaia;27;178;82;17;FullBack;FB
2015;WSM;Sanele Vavae Tuilagi;27;190;108;5;BackRow;SR
2015;WSM;Viliamu Afatia;25;181;106;12;Prop;PR
2015;WSM;Sakaria Taulafo;32;183;118;38;Prop;PR
2015;WSM;Patrick Faapale;24;179;90;6;FlyHalf;FH
2015;WSM;Anthony Perenise;32;182;118;26;Prop;PR
2015;WSM;Kahn Fotuali'i;33;184;94;26;ScrumHalf;SH
2015;WSM;Johnny Leota;31;183;93;19;Centre;CE
2015;WSM;Rey Lee-Lo;29;181;90;4;Centre;CE
