year;pack;name;age;height;weight;caps;position;poscode
2015;ARG;Juan Mart�n Hern�ndez;33;187;94;55;FlyHalf;FH
2015;ARG;Marcos Ayerza;32;186;113;62;Prop;PR
2015;ARG;Juan Mart�n Fernandez Lobbe;33;191;106;66;BackRow;SR
2015;ARG;Juan Manuel Leguizamon;32;190;104;64;BackRow;SR
2015;ARG;Agust�n Creevy;30;182;106;42;Hooker;HK
2015;ARG;Horacio Agulla;30;181;90;60;Wing;WI
2015;ARG;Marcelo Bosch;31;186;92;37;Centre;CE
2015;ARG;Mart�n Landajo;27;171;81;47;ScrumHalf;SH
2015;ARG;Nicolas Sanchez;26;177;83;35;FlyHalf;FH
2015;ARG;Juan Pablo Socino;27;174;98;2;Centre;CE
2015;ARG;Lucas Gonzalez Amorosino;29;185;93;45;Wing;WI
2015;ARG;Juan Pablo Orlandi;32;190;119;16;Prop;PR
2015;ARG;Tomas Cubelli;26;175;79;40;ScrumHalf;SH
2015;ARG;Nahuel Tetaz Chaparro;25;188;121;22;Prop;PR
2015;ARG;Joaquin Tuculet;26;184;86;25;FullBack;FB
2015;ARG;Santiago Gonzalez Iglesias;27;178;89;16;Centre;CE
2015;ARG;Juan Imhoff;27;185;90;29;Wing;WI
2015;ARG;Mariano Galarza;28;203;115;25;Lock;SR
2015;ARG;Leonardo Senatore;31;191;106;30;BackRow;SR
2015;ARG;Matias Alemanno;23;198;112;15;Lock;SR
2015;ARG;Javier Ortega Desio;25;193;104;17;BackRow;SR
2015;ARG;Jeronimo De La Fuente;24;183;93;15;Centre;CE
2015;ARG;Mat�as Moroni;24;184;85;4;Centre;CE
2015;ARG;Pablo Matera;22;193;99;18;BackRow;SR
2015;ARG;Facundo Isa;22;188;103;8;BackRow;SR
2015;ARG;Santiago Cordero;21;176;79;14;Wing;WI
2015;ARG;Ramiro Herrera;26;191;130;15;Prop;PR
2015;ARG;Tomas Lavanini;22;200;118;23;Lock;SR
2015;ARG;Lucas Noguera;21;179;107;18;Prop;PR
2015;ARG;Julian Montoya;21;183;110;11;Hooker;HK
2015;ARG;Guido Petti Pagadizabal;20;193;104;7;Lock;SR
2015;AUS;Matt Giteau;32;178;84;97;FlyHalf;FH
2015;AUS;Drew Mitchell;31;182;92;66;Wing;WI
2015;AUS;Adam Ashley-Cooper;31;182;98;109;Centre;CE
2015;AUS;Dean Mumm;31;196;109;39;Lock;SR
2015;AUS;Tatafu Polota-Nau;30;181;114;56;Hooker;HK
2015;AUS;Stephen Moore;32;186;112;97;Hooker;HK
2015;AUS;Greg Holmes;32;187;114;19;Prop;PR
2015;AUS;Will Genia;27;174;82;61;ScrumHalf;SH
2015;AUS;David Pocock;27;187;115;51;BackRow;SR
2015;AUS;Sekope Kepu;29;188;118;58;Prop;PR
2015;AUS;Wycliff Palu;33;194;115;57;BackRow;SR
2015;AUS;Quade Cooper;27;186;92;58;FlyHalf;FH
2015;AUS;Ben McCalman;27;192;106;42;BackRow;SR
2015;AUS;Rob Simmons;26;200;115;55;Lock;SR
2015;AUS;Henry Speight;27;186;97;5;Wing;WI
2015;AUS;Kurtley Beale;26;184;92;55;FlyHalf;FH
2015;AUS;Rob Horne;26;186;93;28;Wing;WI
2015;AUS;Toby Smith;26;190;116;2;Prop;PR
2015;AUS;Kane Douglas;26;202;123;18;Lock;SR
2015;AUS;James Slipper;26;186;117;69;Prop;PR
2015;AUS;Matt Toomua;25;182;90;27;Centre;CE
2015;AUS;Michael Hooper;23;182;101;47;BackRow;SR
2015;AUS;Tevita Kuridrani;24;192;102;26;Centre;CE
2015;AUS;Scott Sio;23;187;115;12;Prop;PR
2015;AUS;Nick Phipps;26;180;87;34;ScrumHalf;SH
2015;AUS;Bernard Foley;26;182;89;22;FlyHalf;FH
2015;AUS;Will Skelton;23;203;140;14;Lock;SR
2015;AUS;Sean McMahon;21;186;100;5;BackRow;SR
2015;AUS;Joseph Tomane;25;188;101;17;Wing;WI
2015;AUS;Israel Folau;26;193;103;34;FullBack;FB
2015;AUS;Scott Fardy;31;198;114;25;BackRow;SR
2015;CAN;Jamie Cudmore;37;198;116;37;Lock;SR
2015;CAN;James Pritchard;36;175;85;61;FullBack;FB
2015;CAN;Phil Mack;30;170;77;29;ScrumHalf;SH
2015;CAN;Aaron Carpenter;32;183;107;69;Hooker;HK
2015;CAN;Matt Evans;27;183;93;31;FullBack;FB
