kraj;iso;y2013;y1980;gdp2013
Sierra Leone;SLE;10.68;5.17;1655.1
China mainland;;61.05;13.62;20539.0
Solomon Islands;SLB;13.81;15.54;2137.0
South Africa;ZAF;64.92;36.04;12339.7
China mainland;;61.05;13.62;4758.1
China mainland;;61.05;13.62;4758.1
South Korea;KOR;63.61;13.17;32548.7
Spain;ESP;94.04;70.38;30678.9
Sri Lanka;LKA;6.48;3.53;10238.7
China mainland;;61.05;13.62;3405.8
China mainland;;61.05;13.62;3405.8
China mainland;;61.05;13.62;3403.9
Suriname;SUR;56.05;40.09;15419.3
Swaziland;SWZ;25.89;32.54;7865.4
Sweden;SWE;81.57;63.61;43475.8
Switzerland;CHE;72.32;85.36;56535.7
Tanzania;TZA;10.01;9.55;2316.4
Thailand;THA;29.33;18.36;14771.4
Togo;TGO;12.13;6.83;1275.1
Trinidad and Tobago;TTO;76.33;43.8;31405.4
Tunisia;TUN;30.28;15.94;10579.1
Turkey;TUR;35.12;15.48;21650.7
Uganda;UGA;12.13;11.61;1610.8
United Arab Emirates;ARE;58.7;92;61688.3
United Kingdom;GBR;81.48;70.64;37398.7
United States;USA;115.13;108.32;51003.6
China mainland;;61.05;13.62;14186.8
Uruguay;URY;82.29;97.43;19270.5
Vanuatu;VUT;40.77;40.78;2890.1
Venezuela;VEN;72.78;46.04;17665.2
Vietnam;VNM;55.22;9.04;5024.4
Yemen;YEM;20.42;14.03;3872.7
Zambia;ZMB;13.04;14.14;3576.6
Zimbabwe;ZWE;18.24;12.71;1929.7
